prodcodeid,bnfchapter,termfromemis,drugsubstancename,productname,bb,ace,arb,arnie,mra,sglti,loop
"13910541000033116","2040000","metoprolol 25mg tablets","metoprolol tartrate","metoprolol 25mg tablets",1,,,,,,
"131141000033116","","betaloc i.v. 5mg/5ml solution for injection ampoules (recordati pharmaceuticals ltd)","metoprolol tartrate","betaloc i.v. 5mg/5ml solution for injection ampoules",1,,,,,,
"891641000033111","2040000","metoprolol 200mg modified-release tablets","metoprolol tartrate","metoprolol 200mg modified-release tablets",1,,,,,,
"8536441000033115","2040000","bisoprolol 10mg/5ml oral suspension","bisoprolol fumarate","bisoprolol 10mg/5ml oral suspension",1,,,,,,
"5972841000033117","2040000","metoprolol 50mg/5ml oral solution","metoprolol tartrate","metoprolol 50mg/5ml oral solution",1,,,,,,
"144341000033117","","betaloc 100mg tablets (astrazeneca uk ltd)","metoprolol tartrate","betaloc 100mg tablets",1,,,,,,
"514741000033117","2040000","bisoprolol 10mg tablets","bisoprolol fumarate","bisoprolol 10mg tablets",1,,,,,,
"144441000033111","","betaloc 50mg tablets (astrazeneca uk ltd)","metoprolol tartrate","betaloc 50mg tablets",1,,,,,,
"4267141000033111","2040000","bisoprolol 7.5mg/5ml oral suspension","bisoprolol fumarate","bisoprolol 7.5mg/5ml oral suspension",1,,,,,,
"897841000033118","2040000","metoprolol 50mg tablets","metoprolol tartrate","metoprolol 50mg tablets",1,,,,,,
"8961141000033117","2040000","nebivolol 10mg tablets","nebivolol hydrochloride","nebivolol 10mg tablets",1,,,,,,
"2616041000033116","2040000","metoprolol 12.5mg/5ml oral solution","metoprolol tartrate","metoprolol 12.5mg/5ml oral solution",1,,,,,,
"1796141000033112","","nebilet 5mg tablets (a. menarini farmaceutica internazionale srl)","nebivolol hydrochloride","nebilet 5mg tablets",1,,,,,,
"5898041000033111","2040000","bisoprolol 1.25mg/5ml oral solution","bisoprolol fumarate","bisoprolol 1.25mg/5ml oral solution",1,,,,,,
"1796041000033113","2040000","nebivolol 5mg tablets","nebivolol hydrochloride","nebivolol 5mg tablets",1,,,,,,
"2866041000033110","","vivacor 5mg tablets (lexon (uk) ltd)","bisoprolol fumarate","vivacor 5mg tablets",1,,,,,,
"3984541000033111","","congescor 1.25mg tablets (tillomed laboratories ltd)","bisoprolol fumarate","congescor 1.25mg tablets",1,,,,,,
"1952541000033117","","cardicor 5mg tablets (merck serono ltd)","bisoprolol fumarate","cardicor 5mg tablets",1,,,,,,
"1952441000033118","","cardicor 3.75mg tablets (merck serono ltd)","bisoprolol fumarate","cardicor 3.75mg tablets",1,,,,,,
"514141000033116","","emcor 10mg tablets (merck serono ltd)","bisoprolol fumarate","emcor 10mg tablets",1,,,,,,
"3161341000033118","2040000","metoprolol 100mg / hydrochlorothiazide 12.5mg tablets","hydrochlorothiazide/ metoprolol tartrate","metoprolol 100mg / hydrochlorothiazide 12.5mg tablets",1,,,,,,
"4815641000033117","2040000","metoprolol 12.5mg/5ml oral suspension","metoprolol tartrate","metoprolol 12.5mg/5ml oral suspension",1,,,,,,
"372741000033116","","co-betaloc tablets (pfizer ltd)","hydrochlorothiazide/ metoprolol tartrate","co-betaloc tablets",1,,,,,,
"4507941000033117","2040000","bisoprolol 2.5mg/5ml oral suspension","bisoprolol fumarate","bisoprolol 2.5mg/5ml oral suspension",1,,,,,,
"372841000033114","","co-betaloc sa tablets (pfizer ltd)","hydrochlorothiazide/ metoprolol tartrate","co-betaloc sa tablets",1,,,,,,
"939141000033118","","monocor 5mg tablets (wyeth pharmaceuticals)","bisoprolol fumarate","monocor 5mg tablets",1,,,,,,
"10025041000033116","2040000","bisoprolol 5mg / aspirin 100mg capsules","aspirin/ bisoprolol fumarate","bisoprolol 5mg / aspirin 100mg capsules",1,,,,,,
"937341000033111","","monozide 10 tablets (wyeth pharmaceuticals)","bisoprolol fumarate/ hydrochlorothiazide","monozide 10 tablets",1,,,,,,
"939241000033113","","monocor 10mg tablets (wyeth pharmaceuticals)","bisoprolol fumarate","monocor 10mg tablets",1,,,,,,
"1952641000033116","","cardicor 7.5mg tablets (merck serono ltd)","bisoprolol fumarate","cardicor 7.5mg tablets",1,,,,,,
"5972941000033113","2040000","metoprolol 50mg/5ml oral suspension","metoprolol tartrate","metoprolol 50mg/5ml oral suspension",1,,,,,,
"10025241000033112","2040000","bisoprolol 10mg / aspirin 100mg capsules","aspirin/ bisoprolol fumarate","bisoprolol 10mg / aspirin 100mg capsules",1,,,,,,
"1951641000033111","2040000","bisoprolol 1.25mg tablets","bisoprolol fumarate","bisoprolol 1.25mg tablets",1,,,,,,
"144541000033112","","betaloc-sa 200mg tablets (astrazeneca uk ltd)","metoprolol tartrate","betaloc-sa 200mg tablets",1,,,,,,
"2638041000033110","","bipranix 5mg tablets (ashbourne pharmaceuticals ltd)","bisoprolol fumarate","bipranix 5mg tablets",1,,,,,,
"850841000033110","","lopresor 100mg tablets (recordati pharmaceuticals ltd)","metoprolol tartrate","lopresor 100mg tablets",1,,,,,,
"2802041000033113","","soloc 10mg tablets (mercury pharma group ltd)","bisoprolol fumarate","soloc 10mg tablets",1,,,,,,
"1952341000033112","","cardicor 2.5mg tablets (merck serono ltd)","bisoprolol fumarate","cardicor 2.5mg tablets",1,,,,,,
"890741000033112","","metoprolol fumarate  s/r tablets  95 mg","","",1,,,,,,
"1951941000033116","2040000","bisoprolol 7.5mg tablets","bisoprolol fumarate","bisoprolol 7.5mg tablets",1,,,,,,
"151441000033111","","bisoprolol fumarate  tablets  10 mg","","",1,,,,,,
"5898141000033110","2040000","bisoprolol 1.25mg/5ml oral suspension","bisoprolol fumarate","bisoprolol 1.25mg/5ml oral suspension",1,,,,,,
"5991041000033111","2040000","bisoprolol 2.5mg/5ml oral solution","bisoprolol fumarate","bisoprolol 2.5mg/5ml oral solution",1,,,,,,
"3984641000033112","","congescor 2.5mg tablets (tillomed laboratories ltd)","bisoprolol fumarate","congescor 2.5mg tablets",1,,,,,,
"151341000033117","2040000","bisoprolol 5mg tablets","bisoprolol fumarate","bisoprolol 5mg tablets",1,,,,,,
"887141000033113","2040000","metoprolol 5mg/5ml solution for injection ampoules","metoprolol tartrate","metoprolol 5mg/5ml solution for injection ampoules",1,,,,,,
"5898441000033119","2040000","bisoprolol 625micrograms/5ml oral solution","bisoprolol fumarate","bisoprolol 625micrograms/5ml oral solution",1,,,,,,
"850941000033119","","lopresor 50mg tablets (recordati pharmaceuticals ltd)","metoprolol tartrate","lopresor 50mg tablets",1,,,,,,
"5575541000033119","2040000","metoprolol 25mg/5ml oral solution","metoprolol tartrate","metoprolol 25mg/5ml oral solution",1,,,,,,
"10024941000033116","2040000","bisoprolol 5mg / aspirin 75mg capsules","aspirin/ bisoprolol fumarate","bisoprolol 5mg / aspirin 75mg capsules",1,,,,,,
"2638141000033114","","bipranix 10mg tablets (ashbourne pharmaceuticals ltd)","bisoprolol fumarate","bipranix 10mg tablets",1,,,,,,
"1951841000033112","2040000","bisoprolol 3.75mg tablets","bisoprolol fumarate","bisoprolol 3.75mg tablets",1,,,,,,
"1952241000033119","","cardicor 1.25mg tablets (merck serono ltd)","bisoprolol fumarate","cardicor 1.25mg tablets",1,,,,,,
"5898241000033115","2040000","bisoprolol 5mg/5ml oral solution","bisoprolol fumarate","bisoprolol 5mg/5ml oral solution",1,,,,,,
"5565341000033115","2040000","nebivolol 2.5mg tablets","nebivolol hydrochloride","nebivolol 2.5mg tablets",1,,,,,,
"5898541000033118","2040000","bisoprolol 625micrograms/5ml oral suspension","bisoprolol fumarate","bisoprolol 625micrograms/5ml oral suspension",1,,,,,,
"513941000033117","","emcor ls 5mg tablets (merck serono ltd)","bisoprolol fumarate","emcor ls 5mg tablets",1,,,,,,
"13577541000033118","2040000","nebivolol 1.25mg tablets","nebivolol hydrochloride","nebivolol 1.25mg tablets",1,,,,,,
"5898341000033113","2040000","bisoprolol 5mg/5ml oral suspension","bisoprolol fumarate","bisoprolol 5mg/5ml oral suspension",1,,,,,,
"2866141000033114","","vivacor 10mg tablets (lexon (uk) ltd)","bisoprolol fumarate","vivacor 10mg tablets",1,,,,,,
"903641000033115","","metoprolol tartrate  tablets  200 mg","","",1,,,,,,
"1952741000033113","","cardicor 10mg tablets (merck serono ltd)","bisoprolol fumarate","cardicor 10mg tablets",1,,,,,,
"851041000033112","","lopresor sr 200mg tablets (recordati pharmaceuticals ltd)","metoprolol tartrate","lopresor sr 200mg tablets",1,,,,,,
"897741000033111","2040000","metoprolol 100mg tablets","metoprolol tartrate","metoprolol 100mg tablets",1,,,,,,
"1951741000033119","2040000","bisoprolol 2.5mg tablets","bisoprolol fumarate","bisoprolol 2.5mg tablets",1,,,,,,
"209841000033115","","carace 10 plus tablets (organon pharma (uk) ltd)","hydrochlorothiazide/ lisinopril","carace 10 plus tablets",,1,,,,,
"1551841000033118","","zestoretic 10 tablets (atnahs pharma uk ltd)","hydrochlorothiazide/ lisinopril","zestoretic 10 tablets",,1,,,,,
"5401641000033118","2050501","captopril 15mg/5ml oral suspension","captopril","captopril 15mg/5ml oral suspension",,1,,,,,
"5971541000033112","2050501","lisinopril 7.5mg/5ml oral solution","lisinopril","lisinopril 7.5mg/5ml oral solution",,1,,,,,
"8264941000033119","","triapin 2.5mg/2.5mg modified-release tablets (sanofi)","felodipine/ ramipril","triapin 2.5mg/2.5mg modified-release tablets",,1,,,,,
"523941000033114","","enalapril maleate  wafers  10 mg","","",,1,,,,,
"13141000033119","","acezide 25mg/50mg tablets (bristol-myers squibb pharmaceuticals ltd)","captopril/ hydrochlorothiazide","acezide 25mg/50mg tablets",,1,,,,,
"13341000033116","","accupro 20mg tablets (pfizer ltd)","quinapril hydrochloride","accupro 20mg tablets",,1,,,,,
"1552341000033118","","zestoretic 20 tablets (atnahs pharma uk ltd)","hydrochlorothiazide/ lisinopril","zestoretic 20 tablets",,1,,,,,
"3163241000033112","2050501","felodipine 5mg modified-release / ramipril 5mg tablets","felodipine/ ramipril","felodipine 5mg modified-release / ramipril 5mg tablets",,1,,,,,
"3890041000033117","","ramipril  powder for oral suspension with diluent (kit)  10 mg/5 ml","","",,1,,,,,
"13241000033114","","accupro 10mg tablets (pfizer ltd)","quinapril hydrochloride","accupro 10mg tablets",,1,,,,,
"1893141000033119","2050501","co-zidocapt 12.5mg/25mg tablets","captopril/ hydrochlorothiazide","co-zidocapt 12.5mg/25mg tablets",,1,,,,,
"258341000033113","","cilazapril  tablets  250 micrograms","","",,1,,,,,
"1372641000033113","","sprilon aerosol spray (j m loveridge ltd)","dimeticone/ zinc oxide","sprilon aerosol spray",,1,,,,,
"8263441000033110","2050501","perindopril tosilate 5mg tablets","perindopril tosilate","perindopril tosilate 5mg tablets",,1,,,,,
"5595341000033117","","captopril  oral suspension sugar free  2 mg/ml","","",,1,,,,,
"2719841000033113","2050501","captopril 20mg/5ml oral suspension","captopril","captopril 20mg/5ml oral suspension",,1,,,,,
"8263541000033111","2050501","perindopril tosilate 10mg tablets","perindopril tosilate","perindopril tosilate 10mg tablets",,1,,,,,
"5992541000033111","2050501","enalapril 5mg/5ml oral solution","enalapril maleate","enalapril 5mg/5ml oral solution",,1,,,,,
"4454041000033111","2050501","perindopril arginine 5mg tablets","perindopril arginine","perindopril arginine 5mg tablets",,1,,,,,
"524641000033117","","enalapril maleate  wafers  5 mg","","",,1,,,,,
"3333941000033117","2050501","captopril 8mg/5ml oral suspension","captopril","captopril 8mg/5ml oral suspension",,1,,,,,
"6044541000033115","2050501","lisinopril 20mg/5ml oral suspension","lisinopril","lisinopril 20mg/5ml oral suspension",,1,,,,,
"13443441000033115","","lisoretic 10mg/12.5mg tablets (bristol laboratories ltd)","hydrochlorothiazide/ lisinopril","lisoretic 10mg/12.5mg tablets",,1,,,,,
"3163041000033116","2050501","verapamil 180mg modified-release / trandolapril 2mg capsules","trandolapril/ verapamil hydrochloride","verapamil 180mg modified-release / trandolapril 2mg capsules",,1,,,,,
"3940841000033110","2050501","captopril 2mg capsules","captopril","captopril 2mg capsules",,1,,,,,
"3279241000033117","","enalapril 5mg/5ml oral suspension sugar free","enalapril maleate","enalapril 5mg/5ml oral suspension sugar free",,1,,,,,
"1918641000033112","","pralenal 2.5 tablets (opus pharmaceuticals ltd)","enalapril maleate","pralenal 2.5 tablets",,1,,,,,
"258441000033119","2050501","cilazapril 500microgram tablets","cilazapril monohydrate","cilazapril 500microgram tablets",,1,,,,,
"1455641000033111","","tritace 2.5mg capsules (sanofi)","ramipril","tritace 2.5mg capsules",,1,,,,,
"1387341000033114","","staril 10mg tablets (bristol-myers squibb pharmaceuticals ltd)","fosinopril sodium","staril 10mg tablets",,1,,,,,
"3160641000033118","2050501","quinapril 10mg / hydrochlorothiazide 12.5mg tablets","hydrochlorothiazide/ quinapril hydrochloride","quinapril 10mg / hydrochlorothiazide 12.5mg tablets",,1,,,,,
