medcodeid,term,cleansedreadcode,snomedctconceptid,sob,fatigue,ank_swell
"198599018","paroxysmal nocturnal dyspnoea","1736.00","55442000",1,,
"252385016","breathless - moderate exertion","1732.00","161939006",1,,
"252386015","breathless - mild exertion","1733.00","161940008",1,,
"252387012","breathless - at rest","1734.00","161941007",1,,
"252412011","breathlessness nos","173Z.00","267036007",1,,
"253889014","o/e - dyspnoea","2322.00","162890008",1,,
"253890017","o/e - orthopnoea","2323.00","162891007",1,,
"317383018","orthopnea","R060200","62744007",1,,
"317392015","[d]shortness of breath","R060800","267036007",1,,
"317395018","[d]dyspnoea","R060A00","267036007",1,,
"344917018","difficulty breathing","1738.00","230145002",1,,
"371012016","nocturnal dyspnoea","173D.00","248548009",1,,
"397888010","breathlessness","173..00","267036007",1,,
"397890011","shortness of breath","1739.00","267036007",1,,
"451467013","[d]breathlessness","R060D00","267036007",1,,
"498862013","dyspnoea on exertion","173C.11","60845006",1,,
"1232138017","short of breath on exertion","173C.00","60845006",1,,
"1484903015","short of breath dressing/undressing","173F.00","390870001",1,,
"1484904014","breathless - strenuous exertion","173G.00","390871002",1,,
"1485144011","mrc breathlessness scale: grade 1","173H.00","391120009",1,,
"1485147016","mrc breathlessness scale: grade 2","173I.00","391123006",1,,
"1485148014","mrc breathlessness scale: grade 3","173J.00","391124000",1,,
"1485149018","mrc breathlessness scale: grade 4","173K.00","391125004",1,,
"1485150018","mrc breathlessness scale: grade 5","173L.00","391126003",1,,
"1780468018","borg breathlessness score: 1 very slight","173P.00","401279002",1,,
"1780469014","borg breathlessness score: 2 slight","173Q.00","401280004",1,,
"1780470010","borg breathlessness score: 3 moderate","173R.00","401281000",1,,
"1780471014","borg breathlessness score: 4 somewhat severe","173S.00","401282007",1,,
"1780473012","borg breathlessness score: 5 severe","173T.00","401284008",1,,
"1780475017","borg breathlessness score: 6 severe (+)","173V.00","401286005",1,,
"1780479011","borg breathlessness score: 7 very severe","173W.00","401290007",1,,
"1780480014","borg breathlessness score: 8 very severe (+)","173X.00","401291006",1,,
"1780482018","borg breathlessness score: 10 maximal","173a.00","401293009",1,,
"2159189012","unable to complete a sentence in one breath","173b.00","407588003",1,,
"41791000006118","orthopnoea","1735.11","62744007",1,,
"140461000006116","dyspnoea","173..13","267036007",1,,
"525691000006114","breathlessness lying flat","1735.00","62744007",1,,
"525741000006111","breathlessness symptom","173..11","267036007",1,,
"633381000006111","dyspnoea - symptom","173..12","267036007",1,,
"910901000006116","soboe","173C.12","60845006",1,,
"911011000006110","borg breathlessness score: 9 very, very severe (almost maximal)","173Y.00","401292004",1,,
"982351000006118","dyspnoea","","982351000006102",1,,
