medcode,READcode,Readterm,IHD,MI,Hypertension,AF,CVA,Diabetes,Iron_deficiency,Asthma,COPD,Cancer,Depression,Dementia
4017,G32..00,old myocardial infarction,1,1,,,,,,,,,,
1678,G308.00,inferior myocardial infarction nos,1,1,,,,,,,,,,
46166,G35X.00,subsequent myocardial infarction of unspecified site,1,1,,,,,,,,,,
26975,3233,ecg: antero-septal infarct.,1,1,,,,,,,,,,
40429,G301000,acute anteroapical infarction,1,1,,,,,,,,,,
40399,14A4.00,h/o: myocardial infarct >60,1,1,,,,,,,,,,
23892,G304.00,posterior myocardial infarction nos,1,1,,,,,,,,,,
14658,G30z.00,acute myocardial infarction nos,1,1,,,,,,,,,,
32272,G38..00,postoperative myocardial infarction,1,1,,,,,,,,,,
14897,G301z00,anterior myocardial infarction nos,1,1,,,,,,,,,,
17872,G301100,acute anteroseptal infarction,1,1,,,,,,,,,,
28736,G30y000,acute atrial infarction,1,1,,,,,,,,,,
46017,G30yz00,other acute myocardial infarction nos,1,1,,,,,,,,,,
29643,G303.00,acute inferoposterior infarction,1,1,,,,,,,,,,
68748,G38z.00,"postoperative myocardial infarction, unspecified",1,1,,,,,,,,,,
5387,G301.00,other specified anterior myocardial infarction,1,1,,,,,,,,,,
24126,G360.00,haemopericardium/current comp folow acut myocard infarct,1,1,,,,,,,,,,
45809,G350.00,subsequent myocardial infarction of anterior wall,1,1,,,,,,,,,,
100437,9hM..00,exception reporting: myocardial infarction quality indicator,1,1,,,,,,,,,,
35119,G501.00,post infarction pericarditis,1,1,,,,,,,,,,
69474,G365.00,rupture papillary muscle/curr comp fol acute myocard infarct,1,1,,,,,,,,,,
8935,G302.00,acute inferolateral infarction,1,1,,,,,,,,,,
11983,G311500,acute coronary syndrome,1,1,,,,,,,,,,
106812,G383.00,postoperative transmural myocardial infarction unspec site,1,1,,,,,,,,,,
72562,G353.00,subsequent myocardial infarction of other sites,1,1,,,,,,,,,,
100139,14AT.00,history of myocardial infarction,1,1,,,,,,,,,,
46276,G381.00,postoperative transmural myocardial infarction inferior wall,1,1,,,,,,,,,,
61670,889A.00,diab mellit insulin-glucose infus acute myocardial infarct,1,1,,,,,,,,,,
38609,G351.00,subsequent myocardial infarction of inferior wall,1,1,,,,,,,,,,
9555,G33z500,post infarct angina,1,1,,,,,,,,,,
109035,Gyu3500,[x]subsequent myocardial infarction of other sites,1,1,,,,,,,,,,
50372,14AH.00,h/o: myocardial infarction in last year,1,1,,,,,,,,,,
113358,Gyu3100,[x]other current complicatns following acute myocard infarct,1,1,,,,,,,,,,
12139,G300.00,acute anterolateral infarction,1,1,,,,,,,,,,
17133,G30A.00,mural thrombosis,1,1,,,,,,,,,,
3704,G307.00,acute subendocardial infarction,1,1,,,,,,,,,,
68357,G31y100,microinfarction of heart,1,1,,,,,,,,,,
241,G30..00,acute myocardial infarction,1,1,,,,,,,,,,
17464,G32..12,personal history of myocardial infarction,1,1,,,,,,,,,,
105216,14AW.00,h/o acute coronary syndrome,1,1,,,,,,,,,,
23579,G310.00,postmyocardial infarction syndrome,1,1,,,,,,,,,,
13566,G30..11,attack - heart,1,1,,,,,,,,,,
13571,G30..16,thrombosis - coronary,1,1,,,,,,,,,,
30330,G309.00,acute q-wave infarct,1,1,,,,,,,,,,
46112,G380.00,postoperative transmural myocardial infarction anterior wall,1,1,,,,,,,,,,
41835,G384.00,postoperative subendocardial myocardial infarction,1,1,,,,,,,,,,
23708,G361.00,atrial septal defect/curr comp folow acut myocardal infarct,1,1,,,,,,,,,,
99991,Gyu3600,[x]subsequent myocardial infarction of unspecified site,1,1,,,,,,,,,,
59940,G364.00,ruptur chordae tendinae/curr comp fol acute myocard infarct,1,1,,,,,,,,,,
