prodcode,bb,ace,arb,arnie,mra,sglti,loop
"34925",1,,,,,,
"63493",1,,,,,,
"18185",1,,,,,,
"64703",1,,,,,,
"22151",1,,,,,,
"58455",1,,,,,,
"59969",1,,,,,,
"80265",1,,,,,,
"52548",1,,,,,,
"5713",1,,,,,,
"46740",1,,,,,,
"37118",1,,,,,,
"67124",1,,,,,,
"32114",1,,,,,,
"83469",1,,,,,,
"29762",1,,,,,,
"33909",1,,,,,,
"11793",1,,,,,,
"55929",1,,,,,,
"51447",1,,,,,,
"20093",1,,,,,,
"43251",1,,,,,,
"39646",1,,,,,,
"24461",1,,,,,,
"57023",1,,,,,,
"58763",1,,,,,,
"64784",1,,,,,,
"27719",1,,,,,,
"33839",1,,,,,,
"7553",1,,,,,,
"13499",1,,,,,,
"62407",1,,,,,,
"53664",1,,,,,,
"57626",1,,,,,,
"55298",1,,,,,,
"50403",1,,,,,,
"84982",1,,,,,,
"63535",1,,,,,,
"69115",1,,,,,,
"76531",1,,,,,,
"3474",1,,,,,,
"24520",1,,,,,,
"53334",1,,,,,,
"39846",1,,,,,,
"63850",1,,,,,,
"52635",1,,,,,,
"21905",1,,,,,,
"71032",1,,,,,,
"8068",1,,,,,,
"87638",1,,,,,,
"34963",1,,,,,,
"17462",1,,,,,,
"76299",1,,,,,,
"56459",1,,,,,,
"82509",1,,,,,,
"56768",1,,,,,,
"8147",1,,,,,,
"17149",1,,,,,,
"76180",1,,,,,,
"73809",1,,,,,,
"58511",1,,,,,,
"599",1,,,,,,
"472",1,,,,,,
"50300",1,,,,,,
"60896",1,,,,,,
"40761",1,,,,,,
"55791",1,,,,,,
"41892",1,,,,,,
"75010",1,,,,,,
"67595",1,,,,,,
"57176",1,,,,,,
"34821",1,,,,,,
"58109",1,,,,,,
"34509",1,,,,,,
"60502",1,,,,,,
"822",1,,,,,,
"14030",1,,,,,,
"66670",1,,,,,,
"60761",1,,,,,,
"84716",1,,,,,,
"77282",1,,,,,,
"24083",1,,,,,,
"33659",1,,,,,,
"78294",1,,,,,,
"751",1,,,,,,
"53885",1,,,,,,
"40167",1,,,,,,
"72540",1,,,,,,
"1290",1,,,,,,
"34584",1,,,,,,
"14058",1,,,,,,
"55979",1,,,,,,
"80447",1,,,,,,
"47041",1,,,,,,
"34890",1,,,,,,
"65821",1,,,,,,
"65027",1,,,,,,
"82861",1,,,,,,
"74742",1,,,,,,
"45289",1,,,,,,
"47536",1,,,,,,
"739",1,,,,,,
"61340",1,,,,,,
"84859",1,,,,,,
"34094",1,,,,,,
"68677",1,,,,,,
"38991",1,,,,,,
"81732",1,,,,,,
"32552",1,,,,,,
"18287",1,,,,,,
"32836",1,,,,,,
"44000",1,,,,,,
"19178",1,,,,,,
"3344",1,,,,,,
"84020",1,,,,,,
"20082",1,,,,,,
"57578",1,,,,,,
"5968",1,,,,,,
"28493",1,,,,,,
"51528",1,,,,,,
"61115",1,,,,,,
"68881",1,,,,,,
"69156",1,,,,,,
"52686",1,,,,,,
"81887",1,,,,,,
"59148",1,,,,,,
"83454",1,,,,,,
"73638",1,,,,,,
"10429",1,,,,,,
"65227",1,,,,,,
"7528",1,,,,,,
"21966",1,,,,,,
"75463",1,,,,,,
"62361",1,,,,,,
"34407",1,,,,,,
"7066",1,,,,,,
"15488",1,,,,,,
"17615",1,,,,,,
"50224",1,,,,,,
"29427",1,,,,,,
"58974",1,,,,,,
"52611",1,,,,,,
"30400",1,,,,,,
"8071",1,,,,,,
"73641",1,,,,,,
"753",1,,,,,,
"41591",1,,,,,,
"56486",1,,,,,,
"66559",1,,,,,,
"58973",1,,,,,,
"19853",1,,,,,,
"57240",1,,,,,,
"71098",1,,,,,,
"58982",1,,,,,,
"46614",1,,,,,,
"58498",1,,,,,,
"3588",1,,,,,,
"594",1,,,,,,
"61651",1,,,,,,
"29998",1,,,,,,
"10627",1,,,,,,
"74854",1,,,,,,
"59961",1,,,,,,
"19858",1,,,,,,
"70116",1,,,,,,
"80159",1,,,,,,
"54487",1,,,,,,
"76322",1,,,,,,
"72285",1,,,,,,
"37837",1,,,,,,
"32630",1,,,,,,
"76484",1,,,,,,
"10892",1,,,,,,
"34854",1,,,,,,
"50514",1,,,,,,
"76483",1,,,,,,
"57934",1,,,,,,
"14502",1,,,,,,
"44808",1,,,,,,
"63724",1,,,,,,
"65805",1,,,,,,
"61564",1,,,,,,
"19200",1,,,,,,
"64538",1,,,,,,
"4771",1,,,,,,
"74076",1,,,,,,
"34125",1,,,,,,
"64850",1,,,,,,
"86805",1,,,,,,
"88926",1,,,,,,
"54479",1,,,,,,
"59495",1,,,,,,
"56240",1,,,,,,
"53916",1,,,,,,
"34430",1,,,,,,
"77219",1,,,,,,
"59037",1,,,,,,
"78098",1,,,,,,
"34092",1,,,,,,
"7091",1,,,,,,
"86523",1,,,,,,
"47300",1,,,,,,
"71472",1,,,,,,
"43564",1,,,,,,
"17876",1,,,,,,
"45938",,1,,,,,
"13026",,1,,,,,
"41573",,1,,,,,
"82348",,1,,,,,
"69599",,1,,,,,
"14276",,1,,,,,
"7419",,1,,,,,
"33095",,1,,,,,
"34657",,1,,,,,
"63594",,1,,,,,
"55798",,1,,,,,
"77271",,1,,,,,
"75847",,1,,,,,
"39355",,1,,,,,
"37710",,1,,,,,
"14960",,1,,,,,
"49491",,1,,,,,
"709",,1,,,,,
"31716",,1,,,,,
"88368",,1,,,,,
"34357",,1,,,,,
"65389",,1,,,,,
"87108",,1,,,,,
"61270",,1,,,,,
"43649",,1,,,,,
"15748",,1,,,,,
"63442",,1,,,,,
"33353",,1,,,,,
"37965",,1,,,,,
"56079",,1,,,,,
"31307",,1,,,,,
"53719",,1,,,,,
"57882",,1,,,,,
"70916",,1,,,,,
"15085",,1,,,,,
"52010",,1,,,,,
"756",,1,,,,,
"37655",,1,,,,,
"62039",,1,,,,,
"39512",,1,,,,,
"50780",,1,,,,,
"59770",,1,,,,,
"75021",,1,,,,,
"74237",,1,,,,,
"65",,1,,,,,
"71068",,1,,,,,
"65536",,1,,,,,
"30039",,1,,,,,
"63559",,1,,,,,
"39227",,1,,,,,
"22882",,1,,,,,
"79206",,1,,,,,
"6794",,1,,,,,
"5189",,1,,,,,
"78",,1,,,,,
"60232",,1,,,,,
"63149",,1,,,,,
"74008",,1,,,,,
"14228",,1,,,,,
"11983",,1,,,,,
"80522",,1,,,,,
"34471",,1,,,,,
"79828",,1,,,,,
"79485",,1,,,,,
"56279",,1,,,,,
"65985",,1,,,,,
"11133",,1,,,,,
"80520",,1,,,,,
"34539",,1,,,,,
"28127",,1,,,,,
"36742",,1,,,,,
"42285",,1,,,,,
"43432",,1,,,,,
"86076",,1,,,,,
"29627",,1,,,,,
"29530",,1,,,,,
"65416",,1,,,,,
"65983",,1,,,,,
"77410",,1,,,,,
"60757",,1,,,,,
"74618",,1,,,,,
"57346",,1,,,,,
"8025",,1,,,,,
"11937",,1,,,,,
"56509",,1,,,,,
"74209",,1,,,,,
"80208",,1,,,,,
"57701",,1,,,,,
"34696",,1,,,,,
"62958",,1,,,,,
"1144",,1,,,,,
"41522",,1,,,,,
"41633",,1,,,,,
"82505",,1,,,,,
"55002",,1,,,,,
"28724",,1,,,,,
"57048",,1,,,,,
"53551",,1,,,,,
"11561",,1,,,,,
"69600",,1,,,,,
"34943",,1,,,,,
"18263",,1,,,,,
"17655",,1,,,,,
"33078",,1,,,,,
"12858",,1,,,,,
"34490",,1,,,,,
"11641",,1,,,,,
"3839",,1,,,,,
"56505",,1,,,,,
"15031",,1,,,,,
"57235",,1,,,,,
"84039",,1,,,,,
"56244",,1,,,,,
"46957",,1,,,,,
"31587",,1,,,,,
"59788",,1,,,,,
"34798",,1,,,,,
"73617",,1,,,,,
"71491",,1,,,,,
"21053",,1,,,,,
"53271",,1,,,,,
"18223",,1,,,,,
"69016",,1,,,,,
"82499",,1,,,,,
"11987",,1,,,,,
"6359",,1,,,,,
"76567",,1,,,,,
"53915",,1,,,,,
"54986",,1,,,,,
"19198",,1,,,,,
"78262",,1,,,,,
"6765",,1,,,,,
"67741",,1,,,,,
"82036",,1,,,,,
"28486",,1,,,,,
"65749",,1,,,,,
"6807",,1,,,,,
"77597",,1,,,,,
"87078",,1,,,,,
"66558",,1,,,,,
"6408",,1,,,,,
"11197",,1,,,,,
"67307",,1,,,,,
"73389",,1,,,,,
"48049",,1,,,,,
"34429",,1,,,,,
"79380",,1,,,,,
"35007",,1,,,,,
"44657",,1,,,,,
"38034",,1,,,,,
"12411",,1,,,,,
"79334",,1,,,,,
"60097",,1,,,,,
"15096",,1,,,,,
"41746",,1,,,,,
"654",,1,,,,,
"15605",,1,,,,,
"34505",,1,,,,,
"97",,1,,,,,
"45300",,1,,,,,
"81825",,1,,,,,
"24041",,1,,,,,
