medcode,readcode,readterm,cat
78,H33..00,Asthma,Chronic pulmonary disease
81,663..11,Asthma monitoring,Chronic pulmonary disease
148,H30..00,Bronchitis unspecified,Chronic pulmonary disease
152,H302.00,Wheezy bronchitis,Chronic pulmonary disease
185,H333.00,Acute exacerbation of asthma,Chronic pulmonary disease
204,G2...00,Hypertensive disease,Hypertension (uncomplicated)
232,H33z100,Asthma attack,Chronic pulmonary disease
233,H33z011,Severe asthma attack,Chronic pulmonary disease
245,G410.00,Primary pulmonary hypertension,Pulmonary circulation disorders
273,C04..13,Hypothyroidism,Hypothyroidism
318,B210.00,Malignant neoplasm of glottis,Solid tumour or leukaemia
319,B21..00,Malignant neoplasm of larynx,Solid tumour or leukaemia
324,E2B..00,Depressive disorder NEC,Depression
350,K06..00,Renal failure unspecified,Renal disease
352,J12..00,Duodenal ulcer - (DU),Peptic ulcer disease
398,G580.00,Congestive heart failure,Congestive heart failure
430,C380.00,Obesity,Obesity
460,E241.13,Benzodiazepine dependence,Drug abuse
504,G65..00,Transient cerebral ischaemia,Other neurological disorders
506,C100112,Non-insulin dependent diabetes mellitus,Diabetes (uncomplicated)
512,K05..00,Chronic renal failure,Renal disease
534,3299,ECG: right bundle branch block,Cardiac arrythmia
539,D00..12,Microcytic - hypochromic anaemia,Deficiency anaemia
543,Eu32z11,[X]Depression NOS,Depression
561,G540.16,Mitral regurgitation,Valvular disease
569,G64..12,Infarction - cerebral,Other neurological disorders
573,F25..00,Epilepsy,Other neurological disorders
576,E104.00,Acute schizophrenic episode,Psychoses
579,BBE1.00,[M]Malignant melanoma NOS,Solid tumour or leukaemia
595,E112.14,Endogenous depression,Depression
608,66A2.00,Follow-up diabetic assessment,Diabetes (uncomplicated)
655,E200300,Anxiety with depression,Depression
657,J12y200,Unspecified duodenal ulcer with perforation,Peptic ulcer disease
669,E250000,"Nondependent alcohol abuse, unspecified",Alcohol abuse
670,J13..00,Peptic ulcer - (PU) site unspecified,Peptic ulcer disease
684,F20..00,Multiple sclerosis,Other neurological disorders
694,Eu2z.11,[X]Psychosis NOS,Psychoses
708,B827.11,Carcinoma in situ of skin of leg,Solid tumour or leukaemia
